78;0.01;81
70;0.015;43
108;0.013;43
87;0.015;136
100;0.007;20
74;0.008;50
98;0.015;73
86;0.009;25
92;0.008;25
916;0.035;257
844;0.025;154
944;0.026;712
913;0.026;550
884;0.026;1315
888;0.029;1471
922;0.025;401
938;0.025;928
843;0.026;413
183;0.023;73
142;0.007;145
182;0.007;266
179;0.01;86
127;0.007;31
179;0.007;118
176;0.007;169
237;0.007;39
193;0.007;109
1901;0.048;2098
1816;0.048;2665
1747;0.046;631
1844;0.103;3705
1834;0.07;2316
1881;0.071;913
1836;0.046;1521
1708;0.046;1393
1726;0.05;1693
280;0.009;351
265;0.009;127
273;0.009;442
238;0.01;306
271;0.009;561
279;0.009;71
299;0.009;66
268;0.024;96
256;0.013;100
459;0.015;259
467;0.015;442
469;0.038;349
445;0.022;205
408;0.016;370
465;0.015;171
517;0.016;191
478;0.017;439
461;0.02;881
133;0.006;71
123;0.006;57
144;0.008;109
126;0.01;73
136;0.009;120
137;0.007;55
135;0.016;141
148;0.009;55
150;0.006;127
1334;0.04;1900
1365;0.039;561
1399;0.036;1096
1272;0.03;296
1242;0.036;509
1282;0.032;337
1359;0.032;1889
1310;0.039;1045
1256;0.032;1011
252;0.008;253
265;0.008;73
230;0.012;193
300;0.008;241
280;0.009;221
278;0.007;121
272;0.008;121
260;0.007;78
273;0.008;181
2701;0.061;2803
2714;0.063;1387
2759;0.063;1849
2620;0.062;1195
2676;0.061;2226
2710;0.151;1369
2731;0.092;2017
2710;0.097;715
2551;0.091;744
380;0.02;361
404;0.015;163
408;0.026;386
475;0.027;411
402;0.015;326
408;0.021;373
402;0.016;214
418;0.017;241
387;0.037;89
687;0.02;394
654;0.02;473
732;0.02;1126
702;0.018;673
658;0.018;355
680;0.018;309
676;0.018;801
709;0.018;247
635;0.019;289
162;0.007;139
187;0.007;133
197;0.007;73
171;0.007;97
157;0.007;57
181;0.011;86
162;0.006;57
181;0.007;91
167;0.017;82
1824;0.042;1423
1813;0.082;889
1804;0.054;1051
1731;0.052;696
1777;0.062;1091
1832;0.052;1066
1930;0.054;626
1783;0.06;877
1829;0.054;901
362;0.013;109
414;0.027;154
369;0.023;169
378;0.013;148
366;0.022;451
370;0.013;111
339;0.011;103
349;0.026;73
345;0.015;209
3506;0.113;893
3638;0.115;2674
3465;0.078;1337
3494;0.148;741
3657;0.11;793
3662;0.076;1777
3602;0.072;1697
3655;0.074;1241
3537;0.073;3257
541;0.016;577
549;0.038;137
553;0.031;204
570;0.04;99
490;0.039;226
525;0.022;513
526;0.031;295
600;0.016;177
557;0.016;153
884;0.02;485
913;0.021;299
887;0.02;397
925;0.027;415
885;0.028;208
841;0.05;518
844;0.05;337
889;0.03;225
896;0.03;257
224;0.011;57
219;0.007;127
173;0.015;113
215;0.011;127
242;0.016;49
186;0.007;97
244;0.018;81
239;0.011;82
205;0.011;79
2158;0.062;483
2133;0.108;1267
2253;0.097;1689
2300;0.04;703
2280;0.101;865
2182;0.064;1405
2185;0.062;1086
2235;0.043;1128
2228;0.04;751
433;0.011;97
436;0.011;401
467;0.01;217
459;0.011;260
481;0.011;361
440;0.011;280
428;0.029;185
496;0.017;128
467;0.011;122
4500;0.087;1673
4316;0.165;1075
4515;0.125;1520
4593;0.217;2261
4271;0.146;2321
4611;0.142;2881
4201;0.083;1633
4506;0.221;1941
4335;0.13;2146
600;0.016;172
714;0.019;372
658;0.017;204
676;0.02;547
670;0.018;161
688;0.019;625
664;0.02;491
675;0.044;189
664;0.025;433
1169;0.03;393
1058;0.057;469
1183;0.048;226
1189;0.05;953
1160;0.052;400
1094;0.036;288
1146;0.022;386
1093;0.021;519
1129;0.025;730
