78;0.005;81
70;0.005;43
108;0.005;43
87;0.005;136
100;0.006;20
74;0.005;50
98;0.004;73
86;0.006;25
92;0.005;25
916;0.012;257
844;0.009;154
944;0.01;712
913;0.009;550
884;0.009;1315
888;0.01;1471
922;0.009;401
938;0.012;928
843;0.008;413
183;0.005;73
142;0.005;145
182;0.005;266
179;0.005;86
127;0.006;31
179;0.006;118
176;0.006;169
237;0.005;39
193;0.007;109
1901;0.012;2098
1816;0.013;2665
1747;0.012;631
1844;0.014;3705
1834;0.012;2316
1881;0.015;913
1836;0.013;1521
1708;0.015;1393
1726;0.014;1693
280;0.007;351
265;0.006;127
273;0.006;442
238;0.005;306
271;0.01;561
279;0.006;71
299;0.006;66
268;0.005;96
256;0.007;100
459;0.008;259
467;0.008;442
469;0.007;349
445;0.006;205
408;0.006;370
465;0.007;171
517;0.006;191
478;0.007;439
461;0.009;881
133;0.006;71
123;0.005;57
144;0.006;109
126;0.005;73
136;0.006;120
137;0.005;55
135;0.005;141
148;0.005;55
150;0.006;127
1334;0.012;1900
1365;0.012;561
1399;0.012;1096
1272;0.011;296
1242;0.011;509
1282;0.012;337
1359;0.012;1889
1310;0.012;1045
1256;0.02;1011
252;0.006;253
265;0.007;73
230;0.006;193
300;0.006;241
280;0.007;221
278;0.006;121
272;0.006;121
260;0.006;78
273;0.007;181
2701;0.017;2803
2714;0.017;1387
2759;0.016;1849
2620;0.016;1195
2676;0.017;2226
2710;0.015;1369
2731;0.017;2017
2710;0.014;715
2551;0.016;744
380;0.007;361
404;0.007;163
408;0.008;386
475;0.009;411
402;0.007;326
408;0.007;373
402;0.007;214
418;0.008;241
387;0.01;89
687;0.009;394
654;0.009;473
732;0.009;1126
702;0.009;673
658;0.01;355
680;0.008;309
676;0.01;801
709;0.009;247
635;0.008;289
162;0.006;139
187;0.006;133
197;0.006;73
171;0.006;97
157;0.007;57
181;0.006;86
162;0.005;57
181;0.007;91
167;0.006;82
1824;0.015;1423
1813;0.019;889
1804;0.016;1051
1731;0.013;696
1777;0.017;1091
1832;0.016;1066
1930;0.015;626
1783;0.03;877
1829;0.02;901
362;0.012;109
414;0.007;154
369;0.006;169
378;0.006;148
366;0.007;451
370;0.007;111
339;0.006;103
349;0.007;73
345;0.007;209
3506;0.016;893
3638;0.018;2674
3465;0.016;1337
3494;0.031;741
3657;0.015;793
3662;0.015;1777
3602;0.015;1697
3655;0.017;1241
3537;0.039;3257
541;0.011;577
549;0.01;137
553;0.007;204
570;0.008;99
490;0.007;226
525;0.008;513
526;0.007;295
600;0.007;177
557;0.007;153
884;0.009;485
913;0.009;299
887;0.01;397
925;0.009;415
885;0.009;208
841;0.009;518
844;0.023;337
889;0.012;225
896;0.012;257
224;0.008;57
219;0.008;127
173;0.005;113
215;0.005;127
242;0.005;49
186;0.006;97
244;0.005;81
239;0.005;82
205;0.006;79
2158;0.013;483
2133;0.015;1267
2253;0.015;1689
2300;0.013;703
2280;0.014;865
2182;0.014;1405
2185;0.014;1086
2235;0.036;1128
2228;0.02;751
433;0.01;97
436;0.007;401
467;0.007;217
459;0.008;260
481;0.007;361
440;0.008;280
428;0.007;185
496;0.007;128
467;0.007;122
4500;0.017;1673
4316;0.034;1075
4515;0.019;1520
4593;0.018;2261
4271;0.017;2321
4611;0.017;2881
4201;0.017;1633
4506;0.017;1941
4335;0.017;2146
600;0.009;172
714;0.008;372
658;0.009;204
676;0.009;547
670;0.008;161
688;0.009;625
664;0.015;491
675;0.011;189
664;0.008;433
1169;0.011;393
1058;0.011;469
1183;0.011;226
1189;0.011;953
1160;0.016;400
1094;0.027;288
1146;0.016;386
1093;0.014;519
1129;0.011;730
